"VTQ150.Code.or.Value","VTQ150.Value.Description","VTQ150.Count","VTQ150.Cumulative","VTQ150.Skip.to.Item"
"1","Yes",93,93,NA
"2","No",555,648,NA
"7","Refused",0,648,NA
"9","Don't know",1,649,NA
".","Missing",202,851,NA
