"DXXPEBMC.Code.or.Value","DXXPEBMC.Value.Description","DXXPEBMC.Count","DXXPEBMC.Cumulative","DXXPEBMC.Skip.to.Item"
"50.94 to 838.59","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
