"DS1IVB12.Code.or.Value","DS1IVB12.Value.Description","DS1IVB12.Count","DS1IVB12.Cumulative","DS1IVB12.Skip.to.Item"
"0.36 to 6000","Range of Values",1767,1767,NA
".","Missing",3603,5370,NA
