"WBXF064.Code.or.Value","WBXF064.Value.Description","WBXF064.Count","WBXF064.Cumulative","WBXF064.Skip.to.Item"
"2310.7054 to 2310.7054","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
