"DXXWDBMC.Code.or.Value","DXXWDBMC.Value.Description","DXXWDBMC.Count","DXXWDBMC.Cumulative","DXXWDBMC.Skip.to.Item"
"0 to 1.72","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
