"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"2.9 to 76.4","Range of Values",8787,8787,NA
".","Missing",1048,9835,NA
