"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"7.7 to 56.6","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
