"PAQ560.Code.or.Value","PAQ560.Value.Description","PAQ560.Count","PAQ560.Cumulative","PAQ560.Skip.to.Item"
"0 to 77","Range of Values",1925,1925,NA
"77777","Refused",0,1925,NA
"99999","Don't know",9,1934,NA
".","Missing",7254,9188,NA
