"LBDBR9LC.Code.or.Value","LBDBR9LC.Value.Description","LBDBR9LC.Count","LBDBR9LC.Cumulative","LBDBR9LC.Skip.to.Item"
"0","At or above the detection limit",78,78,NA
"1","Below lower detection limit",169,247,NA
".","Missing",0,247,NA
