"RFXT025.Code.or.Value","RFXT025.Value.Description","RFXT025.Count","RFXT025.Cumulative","RFXT025.Skip.to.Item"
"203 to 212","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
