"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 28.238","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
