"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 2187.7","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
