"OSQ210.Code.or.Value","OSQ210.Value.Description","OSQ210.Count","OSQ210.Cumulative","OSQ210.Skip.to.Item"
"14 to 103","Range of Values",114,114,NA
"777","Refused",0,114,NA
"999","Don't know",5,119,NA
".","Missing",5816,5935,NA
