"DMDHHSZA.Code.or.Value","DMDHHSZA.Value.Description","DMDHHSZA.Count","DMDHHSZA.Cumulative","DMDHHSZA.Skip.to.Item"
"0","0",6417,6417,NA
"1","1",2341,8758,NA
"2","2",1068,9826,NA
"3","3 or more",349,10175,NA
".","Missing",0,10175,NA
