"RFXT135.Code.or.Value","RFXT135.Value.Description","RFXT135.Count","RFXT135.Cumulative","RFXT135.Skip.to.Item"
"1176 to 1185","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
