"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.06 to 35","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
