"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6367,6367,NA
"2","Spanish",779,7146,NA
".","Missing",3003,10149,NA
