"LBDPFBSL.Code.or.Value","LBDPFBSL.Value.Description","LBDPFBSL.Count","LBDPFBSL.Cumulative","LBDPFBSL.Skip.to.Item"
"0","At or above the detection limit",19,19,NA
"1","Below lower detection limit",2214,2233,NA
".","Missing",199,2432,NA
