"DXXOSBMD.Code.or.Value","DXXOSBMD.Value.Description","DXXOSBMD.Count","DXXOSBMD.Cumulative","DXXOSBMD.Skip.to.Item"
"0.372 to 1.865","Range of Values",5679,5679,NA
".","Missing",2506,8185,NA
