"DR1ISODI.Code.or.Value","DR1ISODI.Value.Description","DR1ISODI.Count","DR1ISODI.Cumulative","DR1ISODI.Skip.to.Item"
"0 to 9666","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
