"OCQ530.Code.or.Value","OCQ530.Value.Description","OCQ530.Count","OCQ530.Cumulative","OCQ530.Skip.to.Item"
"1","Yes",1330,1330,""
"2","No",4644,5974,"OCQ550"
"7","Refused",0,5974,"OCQ550"
"9","Don't know",6,5980,"OCQ550"
".","Missing",909,6889,""
