"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"16 to 2276","Range of Values",6232,6232,NA
".","Missing",526,6758,NA
