"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",321,321,""
"2","No",3888,4209,"DRD350E"
".","Missing",5741,9950,""
