"DR1IPROT.Code.or.Value","DR1IPROT.Value.Description","DR1IPROT.Count","DR1IPROT.Cumulative","DR1IPROT.Skip.to.Item"
"0 to 232.72","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
