"SSQ021A.Code.or.Value","SSQ021A.Value.Description","SSQ021A.Count","SSQ021A.Cumulative","SSQ021A.Skip.to.Item"
"10","Spouse",1571,1571,NA
"77","Refused",0,1571,NA
"99","Don't know",2,1573,NA
".","Missing",1726,3299,NA
