"LBXGLUSI.Code.or.Value","LBXGLUSI.Value.Description","LBXGLUSI.Count","LBXGLUSI.Cumulative","LBXGLUSI.Skip.to.Item"
"3.15 to 32.628","Range of Values",3035,3035,NA
".","Missing",232,3267,NA
