"DSD128JJ.Code.or.Value","DSD128JJ.Value.Description","DSD128JJ.Count","DSD128JJ.Cumulative","DSD128JJ.Skip.to.Item"
"44","FOR WEIGHT GAIN",8,8,NA
".","Missing",9109,9117,NA
