"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"1 to 95","Range of Values",1230,1230,NA
"777","Refused",0,1230,NA
"999","Don't know",13,1243,NA
".","Missing",3798,5041,NA
