"DXXLLFAT.Code.or.Value","DXXLLFAT.Value.Description","DXXLLFAT.Count","DXXLLFAT.Cumulative","DXXLLFAT.Skip.to.Item"
"618.8 to 16741.6","Range of Values",4865,4865,NA
".","Missing",915,5780,NA
