"FSQ760.Code.or.Value","FSQ760.Value.Description","FSQ760.Count","FSQ760.Cumulative","FSQ760.Skip.to.Item"
"1","Yes",1204,1204,""
"2","No",283,1487,"FSQBOX6"
"7","Refused",0,1487,"FSQBOX6"
"9","Don't know",0,1487,"FSQBOX6"
".","Missing",7767,9254,""
