"DUQ215Q.Code.or.Value","DUQ215Q.Value.Description","DUQ215Q.Count","DUQ215Q.Cumulative","DUQ215Q.Skip.to.Item"
"0 to 182","Range of Values",945,945,NA
"7777","Refused",1,946,NA
"9999","Don't know",0,946,NA
".","Missing",4356,5302,NA
