"AUXLOEXC.Code.or.Value","AUXLOEXC.Value.Description","AUXLOEXC.Count","AUXLOEXC.Cumulative","AUXLOEXC.Skip.to.Item"
"1","Yes (checkbox checked)",517,517,NA
"2","No (checkbox unchecked)",3852,4369,NA
".","Missing",213,4582,NA
