"DXDTOFAT.Code.or.Value","DXDTOFAT.Value.Description","DXDTOFAT.Count","DXDTOFAT.Cumulative","DXDTOFAT.Skip.to.Item"
"3410.9 to 102288.7","Range of Values",4521,4521,NA
".","Missing",1171,5692,NA
