"AUDTYR47.Code.or.Value","AUDTYR47.Value.Description","AUDTYR47.Count","AUDTYR47.Cumulative","AUDTYR47.Skip.to.Item"
"0 to 2.53","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
