"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 66","Range of Values",1290,1290,NA
"77777","Refused",0,1290,NA
"99999","Don't know",10,1300,NA
".","Missing",3580,4880,NA
