"LB2SCLSI.Code.or.Value","LB2SCLSI.Value.Description","LB2SCLSI.Count","LB2SCLSI.Cumulative","LB2SCLSI.Skip.to.Item"
"92 to 112","Range of Values",544,544,NA
".","Missing",2,546,NA
