"PHQ030.Code.or.Value","PHQ030.Value.Description","PHQ030.Count","PHQ030.Cumulative","PHQ030.Skip.to.Item"
"1","Yes",6,6,NA
"2","No",9552,9558,NA
".","Missing",277,9835,NA
