"PAQ724cm.Code.or.Value","PAQ724cm.Value.Description","PAQ724cm.Count","PAQ724cm.Cumulative","PAQ724cm.Skip.to.Item"
"91","OTHER (SPECIFY)",23,23,NA
".","Missing",9461,9484,NA
