"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"0 to 2987","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
