"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 67","Range of Values",453,453,NA
"70","70 or more",4,457,NA
"77777","Refused",0,457,NA
"99999","Don't know",16,473,NA
".","Missing",9193,9666,NA
