"WBXA077.Code.or.Value","WBXA077.Value.Description","WBXA077.Count","WBXA077.Cumulative","WBXA077.Skip.to.Item"
"-0.774 to 0.9992","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
