"PAD630.Code.or.Value","PAD630.Value.Description","PAD630.Count","PAD630.Cumulative","PAD630.Skip.to.Item"
"10 to 900","Range of Values",2296,2296,NA
"7777","Refused",0,2296,NA
"9999","Don't know",3,2299,NA
".","Missing",7185,9484,NA
