"URXP05.Code.or.Value","URXP05.Value.Description","URXP05.Count","URXP05.Cumulative","URXP05.Skip.to.Item"
"3.5 to 6344.4","Range of Values",2601,2601,NA
".","Missing",117,2718,NA
