"DR1IIRON.Code.or.Value","DR1IIRON.Value.Description","DR1IIRON.Count","DR1IIRON.Cumulative","DR1IIRON.Skip.to.Item"
"0 to 66.36","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
