"RFXT137.Code.or.Value","RFXT137.Value.Description","RFXT137.Count","RFXT137.Cumulative","RFXT137.Skip.to.Item"
"1194 to 1203","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
