"LBXHCB.Code.or.Value","LBXHCB.Value.Description","LBXHCB.Count","LBXHCB.Cumulative","LBXHCB.Skip.to.Item"
"0.119 to 1.984","Range of Values",1702,1702,NA
".","Missing",572,2274,NA
