"RFXT163.Code.or.Value","RFXT163.Value.Description","RFXT163.Count","RFXT163.Cumulative","RFXT163.Skip.to.Item"
"1424 to 1433","Range of Values",51050,51050,NA
".","Missing",26,51076,NA
