"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 2.827","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
