"DXXSATV.Code.or.Value","DXXSATV.Value.Description","DXXSATV.Count","DXXSATV.Cumulative","DXXSATV.Skip.to.Item"
"103.46 to 5314.66","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
