"URDMB3LC.Code.or.Value","URDMB3LC.Value.Description","URDMB3LC.Count","URDMB3LC.Cumulative","URDMB3LC.Skip.to.Item"
"0","At or above the detection limit",2198,2198,NA
"1","Below lower detection limit",42,2240,NA
".","Missing",109,2349,NA
