"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 14.516","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
