"DR2TTFAT.Code.or.Value","DR2TTFAT.Value.Description","DR2TTFAT.Count","DR2TTFAT.Cumulative","DR2TTFAT.Skip.to.Item"
"0 to 530.22","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
