"LB2SUASI.Code.or.Value","LB2SUASI.Value.Description","LB2SUASI.Count","LB2SUASI.Cumulative","LB2SUASI.Skip.to.Item"
"89.2 to 636.4","Range of Values",544,544,NA
".","Missing",2,546,NA
