"HIQ270.Code.or.Value","HIQ270.Value.Description","HIQ270.Count","HIQ270.Cumulative","HIQ270.Skip.to.Item"
"1","Yes",7570,7570,NA
"2","No",509,8079,NA
"7","Refused",2,8081,NA
"9","Don't know",80,8161,NA
".","Missing",1988,10149,NA
