"AUDTYL15.Code.or.Value","AUDTYL15.Value.Description","AUDTYL15.Count","AUDTYL15.Cumulative","AUDTYL15.Skip.to.Item"
"0 to 1","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
