"OPDSD125.Code.or.Value","OPDSD125.Value.Description","OPDSD125.Count","OPDSD125.Cumulative","OPDSD125.Skip.to.Item"
"0","No",2163,2163,NA
"1","Yes",172,2335,NA
".","Missing",599,2934,NA
