"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"228 to 321","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
