"BAQ030B.Code.or.Value","BAQ030B.Value.Description","BAQ030B.Count","BAQ030B.Cumulative","BAQ030B.Skip.to.Item"
"1","Less than 2 weeks",307,307,"BAQ020c"
"2","2 weeks to 3 months",51,358,"BAQ020c"
"3","More than 3 months",254,612,"BAQ020c"
"7","Refused",0,612,"BAQ020c"
"9","Don't know",1,613,"BAQ020c"
".","Missing",2686,3299,""
