"FSD660M.Code.or.Value","FSD660M.Value.Description","FSD660M.Count","FSD660M.Cumulative","FSD660M.Skip.to.Item"
"1","Yes",114,114,NA
"2","No",18,132,NA
"7","Refused",0,132,NA
"9","Don't know",0,132,NA
".","Missing",9990,10122,NA
