"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.21 to 724.4","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
