"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",3164,3164,NA
"1","Below lower detection limit",5,3169,NA
".","Missing",148,3317,NA
