"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"4 to 1539","Range of Values",6858,6858,NA
".","Missing",511,7369,NA
