"URXNAT.Code.or.Value","URXNAT.Value.Description","URXNAT.Count","URXNAT.Cumulative","URXNAT.Skip.to.Item"
"0.003 to 14.8","Range of Values",7912,7912,NA
".","Missing",379,8291,NA
