"DXXL1A.Code.or.Value","DXXL1A.Value.Description","DXXL1A.Count","DXXL1A.Cumulative","DXXL1A.Skip.to.Item"
"6.14 to 20.54","Range of Values",6389,6389,NA
".","Missing",1345,7734,NA
